データソース,元の表現,変換後
予報API,くもり,曇り
予報API,くもり一時雨,雨
予報API,くもり一時雨か雪,雪
予報API,くもり一時雪,雪
予報API,くもり一時雪か雨,雪
予報API,くもり後一時雨,雨
予報API,くもり後一時雪,雪
予報API,くもり後時々雨,雨
予報API,くもり後時々雪,雪
予報API,くもり後晴れ,晴れ
予報API,くもり後雨,雨
予報API,くもり後雨か雪,雪
予報API,くもり後雪,雪
予報API,くもり後雪か雨,雪
予報API,くもり時々晴れ,晴れ
予報API,くもり時々雨,雨
予報API,くもり時々雨か雪,雪
予報API,くもり時々雪,雪
予報API,くもり時々雪か雨,雪
予報API,晴れ,晴れ
予報API,晴れ一時雨,雨
予報API,晴れ一時雨か雪,雪
予報API,晴れ一時雪,雪
予報API,晴れ後くもり,晴れ
予報API,晴れ後一時雨,雨
予報API,晴れ後一時雪,雪
予報API,晴れ後時々雪,雪
予報API,晴れ後雨,雨
予報API,晴れ後雨か雪,雪
予報API,晴れ後雪,雪
予報API,晴れ後雪か雨,雪
予報API,晴れ時々くもり,晴れ
予報API,晴れ時々雨,雨
予報API,晴れ時々雨か雪,雪
予報API,晴れ時々雪,雪
予報API,晴れ時々雪か雨,雪
予報API,暴風雪,雪
予報API,雨,雨
予報API,雨か雪,雪
予報API,雨か雪後くもり,雪
予報API,雨か雪後晴れ,雪
予報API,雨で暴風を伴う,雨
予報API,雨後くもり,雨
予報API,雨後晴れ,雨
予報API,雨後雪,雪
予報API,雨時々止む,雨
予報API,雪,雪
予報API,雪か雨,雪
予報API,雪か雨後くもり,雪
予報API,雪か雨後晴れ,雪
予報API,雪一時雨,雪
予報API,雪後くもり,雪
予報API,雪後晴れ,雪
予報API,雪後雨,雪
予報API,雪時々晴れ,雪
予報API,雪時々止む,雪
予報API,風雪強い,雪
気象庁(実測),×,その他
気象庁(実測),みぞれ,その他
気象庁(実測),みぞれ、雷を伴う,雨
気象庁(実測),みぞれ一時晴後曇時々雨,雨
気象庁(実測),みぞれ一時晴後曇時々雪,雪
気象庁(実測),みぞれ一時晴後雨時々曇,雨
気象庁(実測),みぞれ一時晴後雪時々曇,雪
気象庁(実測),みぞれ一時曇,曇り
気象庁(実測),みぞれ一時曇後一時雨,雨
気象庁(実測),みぞれ一時曇後時々雨,雨
気象庁(実測),みぞれ一時曇後時々雨、雷を伴う,雨
気象庁(実測),みぞれ一時曇後時々雪、雷を伴う,雪
気象庁(実測),みぞれ一時曇後晴時々雨,雨
気象庁(実測),みぞれ一時曇後雨,雨
気象庁(実測),みぞれ一時曇後雨、雷を伴う,雨
気象庁(実測),みぞれ一時曇後雨時々雪,雪
気象庁(実測),みぞれ一時曇後雪、雷を伴う,雪
気象庁(実測),みぞれ一時雨,雨
気象庁(実測),みぞれ一時雨、雷を伴う,雨
気象庁(実測),みぞれ一時雨後一時雪,雪
気象庁(実測),みぞれ一時雨後時々雪、雷を伴う,雪
気象庁(実測),みぞれ一時雨後晴,雨
気象庁(実測),みぞれ一時雨後晴、雷を伴う,雨
気象庁(実測),みぞれ一時雨後晴時々曇,雨
気象庁(実測),みぞれ一時雨後晴時々雪,雪
気象庁(実測),みぞれ一時雨後曇,雨
気象庁(実測),みぞれ一時雨後曇、雷を伴う,雨
気象庁(実測),みぞれ一時雨後曇時々晴,雨
気象庁(実測),みぞれ一時雨後曇時々雪,雪
気象庁(実測),みぞれ一時雨後雪,雪
気象庁(実測),みぞれ一時雨後雪、雷を伴う,雪
気象庁(実測),みぞれ一時雨後雪時々曇,雪
気象庁(実測),みぞれ一時雪,雪
気象庁(実測),みぞれ一時雪、雷を伴う,雪
気象庁(実測),みぞれ一時雪後一時曇、大風を伴う,雪
気象庁(実測),みぞれ一時雪後時々曇,雪
気象庁(実測),みぞれ一時雪後時々雨,雪
気象庁(実測),みぞれ一時雪後晴,雪
気象庁(実測),みぞれ一時雪後晴時々曇,雪
気象庁(実測),みぞれ一時雪後曇,雪
気象庁(実測),みぞれ一時雪後曇、大風を伴う,雪
気象庁(実測),みぞれ一時雪後曇時々晴,雪
気象庁(実測),みぞれ一時雪後曇時々雨,雪
気象庁(実測),みぞれ一時雪後雨,雪
気象庁(実測),みぞれ一時雪後雨、雷を伴う,雪
気象庁(実測),みぞれ一時雪後雨時々曇,雪
気象庁(実測),みぞれ一時霧,曇り
気象庁(実測),みぞれ後一時曇,曇り
気象庁(実測),みぞれ後一時雨,雨
気象庁(実測),みぞれ後一時雨、雷を伴う,雨
気象庁(実測),みぞれ後一時雨一時曇,雨
気象庁(実測),みぞれ後一時雨時々曇一時晴,雨
気象庁(実測),みぞれ後一時雪,雪
気象庁(実測),みぞれ後一時雪一時雨,雪
気象庁(実測),みぞれ後一時雪時々雨一時曇,雪
気象庁(実測),みぞれ後時々曇一時雪,雪
気象庁(実測),みぞれ後時々雨,雨
気象庁(実測),みぞれ後時々雨一時晴,雨
気象庁(実測),みぞれ後時々雨一時曇,雨
気象庁(実測),みぞれ後時々雨時々曇一時晴,雨
気象庁(実測),みぞれ後時々雪,雪
気象庁(実測),みぞれ後時々雪時々雨一時曇,雪
気象庁(実測),みぞれ後晴時々曇、大風を伴う,晴れ
気象庁(実測),みぞれ後晴時々曇一時雨,雨
気象庁(実測),みぞれ後曇,曇り
気象庁(実測),みぞれ後曇一時晴,晴れ
気象庁(実測),みぞれ後曇一時雨,雨
気象庁(実測),みぞれ後曇一時雪,雪
気象庁(実測),みぞれ後曇一時雪、大風を伴う,雪
気象庁(実測),みぞれ後曇一時雪、雷を伴う,雪
気象庁(実測),みぞれ後曇時々晴,晴れ
気象庁(実測),みぞれ後曇時々晴、雷を伴う,雨
気象庁(実測),みぞれ後曇時々晴、霧を伴う,晴れ
気象庁(実測),みぞれ後曇時々晴一時雨,雨
気象庁(実測),みぞれ後曇時々晴一時雪,雪
気象庁(実測),みぞれ後曇時々雨,雨
気象庁(実測),みぞれ後曇時々雨、雷を伴う,雨
気象庁(実測),みぞれ後曇時々雨一時晴,雨
気象庁(実測),みぞれ後曇時々雪一時雨,雪
気象庁(実測),みぞれ後雨,雨
気象庁(実測),みぞれ後雨、雷を伴う,雨
気象庁(実測),みぞれ後雨一時晴,雨
気象庁(実測),みぞれ後雨一時曇,雨
気象庁(実測),みぞれ後雨時々晴一時曇,雨
気象庁(実測),みぞれ後雨時々曇,雨
気象庁(実測),みぞれ後雨時々曇、雷を伴う,雨
気象庁(実測),みぞれ後雨時々曇一時晴,雨
気象庁(実測),みぞれ後雪一時曇,雪
気象庁(実測),みぞれ後雪一時曇、雷を伴う,雪
気象庁(実測),みぞれ後雪一時雨,雪
気象庁(実測),みぞれ後雪時々晴、大風・雷を伴う,雪
気象庁(実測),みぞれ後雪時々曇,雪
気象庁(実測),みぞれ後雪時々曇、大風を伴う,雪
気象庁(実測),みぞれ後雪時々曇、雷を伴う,雪
気象庁(実測),みぞれ後雪時々曇一時晴,雪
気象庁(実測),みぞれ時々大雨,雨
気象庁(実測),みぞれ時々大雨一時雪、雷を伴う,雪
気象庁(実測),みぞれ時々晴一時曇,晴れ
気象庁(実測),みぞれ時々晴一時曇後雪,雪
気象庁(実測),みぞれ時々晴一時雨,雨
気象庁(実測),みぞれ時々晴一時雪,雪
気象庁(実測),みぞれ時々晴後曇,晴れ
気象庁(実測),みぞれ時々晴後曇一時雪,雪
気象庁(実測),みぞれ時々暴風雨,雨
気象庁(実測),みぞれ時々曇,曇り
気象庁(実測),みぞれ時々曇、あられを伴う,曇り
気象庁(実測),みぞれ時々曇、雷を伴う,雨
気象庁(実測),みぞれ時々曇一時晴,晴れ
気象庁(実測),みぞれ時々曇一時晴、大風を伴う,晴れ
気象庁(実測),みぞれ時々曇一時晴後雨,雨
気象庁(実測),みぞれ時々曇一時雨,雨
気象庁(実測),みぞれ時々曇一時雨、雷を伴う,雨
気象庁(実測),みぞれ時々曇一時雨後時々雪,雪
気象庁(実測),みぞれ時々曇一時雨後晴,雨
気象庁(実測),みぞれ時々曇一時雨後雪,雪
気象庁(実測),みぞれ時々曇一時雪,雪
気象庁(実測),みぞれ時々曇一時雪、大風・雷を伴う,雪
気象庁(実測),みぞれ時々曇一時雪、雷を伴う,雪
気象庁(実測),みぞれ時々曇一時雪後一時雨,雪
気象庁(実測),みぞれ時々曇一時雪後時々雨,雪
気象庁(実測),みぞれ時々曇一時雪後晴,雪
気象庁(実測),みぞれ時々曇一時雪後雨,雪
気象庁(実測),みぞれ時々曇後晴,晴れ
気象庁(実測),みぞれ時々曇後晴一時雪,雪
気象庁(実測),みぞれ時々曇後雨,雨
気象庁(実測),みぞれ時々曇後雨、大風・雷を伴う,雨
気象庁(実測),みぞれ時々曇後雨、雷を伴う,雨
気象庁(実測),みぞれ時々曇後雨、霧を伴う,雨
気象庁(実測),みぞれ時々曇後雨一時晴,雨
気象庁(実測),みぞれ時々曇後雪,雪
気象庁(実測),みぞれ時々曇後雪一時晴,雪
気象庁(実測),みぞれ時々曇後雪一時雨,雪
気象庁(実測),みぞれ時々雨,雨
気象庁(実測),みぞれ時々雨、雷を伴う,雨
気象庁(実測),みぞれ時々雨一時晴後曇,雨
気象庁(実測),みぞれ時々雨一時曇,雨
気象庁(実測),みぞれ時々雨一時曇、あられを伴う,雨
気象庁(実測),みぞれ時々雨一時曇、雷を伴う,雨
気象庁(実測),みぞれ時々雨一時曇後一時雪,雪
気象庁(実測),みぞれ時々雨一時曇後時々雪,雪
気象庁(実測),みぞれ時々雨一時曇後晴,雨
気象庁(実測),みぞれ時々雨一時曇後雪,雪
気象庁(実測),みぞれ時々雨一時雪,雪
気象庁(実測),みぞれ時々雨一時雪、雷を伴う,雪
気象庁(実測),みぞれ時々雨一時雪後曇,雪
気象庁(実測),みぞれ時々雨後晴,雨
気象庁(実測),みぞれ時々雨後晴、大風を伴う,雨
気象庁(実測),みぞれ時々雨後晴一時曇,雨
気象庁(実測),みぞれ時々雨後晴一時雪,雪
気象庁(実測),みぞれ時々雨後曇,雨
気象庁(実測),みぞれ時々雨後曇、雷を伴う,雨
気象庁(実測),みぞれ時々雨後曇一時晴,雨
気象庁(実測),みぞれ時々雨後曇一時雪,雪
気象庁(実測),みぞれ時々雨後雪,雪
気象庁(実測),みぞれ時々雨後雪、大風を伴う,雪
気象庁(実測),みぞれ時々雨後雪、大風・雷を伴う,雪
気象庁(実測),みぞれ時々雨後雪、雷を伴う,雪
気象庁(実測),みぞれ時々雨後雪、霧を伴う,雪
気象庁(実測),みぞれ時々雨後雪一時曇,雪
気象庁(実測),みぞれ時々雪,雪
気象庁(実測),みぞれ時々雪、雷を伴う,雪
気象庁(実測),みぞれ時々雪一時晴後曇,雪
気象庁(実測),みぞれ時々雪一時曇,雪
気象庁(実測),みぞれ時々雪一時曇、雷を伴う,雪
気象庁(実測),みぞれ時々雪一時曇後時々雨,雪
気象庁(実測),みぞれ時々雪一時曇後晴,雪
気象庁(実測),みぞれ時々雪一時曇後雨,雪
気象庁(実測),みぞれ時々雪一時雨,雪
気象庁(実測),みぞれ時々雪一時雨、大風を伴う,雪
気象庁(実測),みぞれ時々雪一時雨、雷を伴う,雪
気象庁(実測),みぞれ時々雪一時雨後時々曇,雪
気象庁(実測),みぞれ時々雪一時雨後曇,雪
気象庁(実測),みぞれ時々雪後晴,雪
気象庁(実測),みぞれ時々雪後晴一時曇,雪
気象庁(実測),みぞれ時々雪後晴一時雨,雪
気象庁(実測),みぞれ時々雪後曇一時晴,雪
気象庁(実測),みぞれ時々雪後曇一時雨,雪
気象庁(実測),みぞれ時々雪後雨一時曇,雪
気象庁(実測),みぞれ時々霧後曇一時雪,雪
気象庁(実測),大雨,雨
気象庁(実測),大雨、みぞれを伴う,雨
気象庁(実測),大雨、雷を伴う,雨
気象庁(実測),大雨、霧を伴う,雨
気象庁(実測),大雨一時晴後時々曇,雨
気象庁(実測),大雨一時曇,雨
気象庁(実測),大雨一時曇、雷を伴う,雨
気象庁(実測),大雨一時曇、雷・あられを伴う,雨
気象庁(実測),大雨一時曇後晴、雷を伴う,雨
気象庁(実測),大雨一時雪,雪
気象庁(実測),大雨一時雪、みぞれを伴う,雪
気象庁(実測),大雨後みぞれ時々雪,雪
気象庁(実測),大雨後一時晴,雨
気象庁(実測),大雨後一時晴、大風・雷を伴う,雨
気象庁(実測),大雨後一時曇,雨
気象庁(実測),大雨後一時曇、雷を伴う,雨
気象庁(実測),大雨後一時曇、霧を伴う,雨
気象庁(実測),大雨後一時曇一時晴,雨
気象庁(実測),大雨後一時曇一時晴、雷を伴う,雨
気象庁(実測),大雨後時々晴,雨
気象庁(実測),大雨後時々曇,雨
気象庁(実測),大雨後時々曇、雷を伴う,雨
気象庁(実測),大雨後時々曇一時晴,雨
気象庁(実測),大雨後時々曇一時晴、雷を伴う,雨
気象庁(実測),大雨後晴,雨
気象庁(実測),大雨後晴、雷を伴う,雨
気象庁(実測),大雨後晴一時曇、雷を伴う,雨
気象庁(実測),大雨後晴時々曇,雨
気象庁(実測),大雨後晴時々曇、雷を伴う,雨
気象庁(実測),大雨後曇,雨
気象庁(実測),大雨後曇、雷を伴う,雨
気象庁(実測),大雨後曇、雷・あられを伴う,雨
気象庁(実測),大雨後曇一時晴,雨
気象庁(実測),大雨後曇一時晴、雷を伴う,雨
気象庁(実測),大雨後曇一時晴、霧を伴う,雨
気象庁(実測),大雨後曇時々晴,雨
気象庁(実測),大雨後曇時々晴、雷を伴う,雨
気象庁(実測),大雨時々みぞれ,雨
気象庁(実測),大雨時々晴、雷を伴う,雨
気象庁(実測),大雨時々晴一時曇,雨
気象庁(実測),大雨時々晴一時曇、雷を伴う,雨
気象庁(実測),大雨時々晴後曇、雷を伴う,雨
気象庁(実測),大雨時々曇,雨
気象庁(実測),大雨時々曇、雷を伴う,雨
気象庁(実測),大雨時々曇、霧を伴う,雨
気象庁(実測),大雨時々曇一時晴,雨
気象庁(実測),大雨時々曇一時晴、雷を伴う,雨
気象庁(実測),大雨時々曇後一時晴,雨
気象庁(実測),大雨時々曇後晴,雨
気象庁(実測),大雨時々曇後晴、雷を伴う,雨
気象庁(実測),大雪,雪
気象庁(実測),大雪、みぞれを伴う,雪
気象庁(実測),大雪、雷を伴う,雪
気象庁(実測),大雪一時みぞれ,雪
気象庁(実測),大雪一時曇,雪
気象庁(実測),大雪後みぞれ,雪
気象庁(実測),大雪後一時晴,雪
気象庁(実測),大雪後時々みぞれ,雪
気象庁(実測),大雪後時々みぞれ、雷を伴う,雪
気象庁(実測),大雪後時々みぞれ一時雨、雷を伴う,雪
気象庁(実測),大雪後時々曇,雪
気象庁(実測),大雪後晴,雪
気象庁(実測),大雪時々みぞれ一時曇,雪
気象庁(実測),大雪時々曇,雪
気象庁(実測),大雪時々曇、雷・あられを伴う,雪
気象庁(実測),大雪時々曇一時晴,雪
気象庁(実測),快晴,晴れ
気象庁(実測),晴,晴れ
気象庁(実測),晴、みぞれを伴う,晴れ
気象庁(実測),晴、大風を伴う,晴れ
気象庁(実測),晴、雷を伴う,雨
気象庁(実測),晴、霧を伴う,晴れ
気象庁(実測),晴一時みぞれ,晴れ
気象庁(実測),晴一時みぞれ後曇,晴れ
気象庁(実測),晴一時みぞれ後曇時々雪,雪
気象庁(実測),晴一時みぞれ後薄曇,晴れ
気象庁(実測),晴一時みぞれ後雨時々曇,雨
気象庁(実測),晴一時曇,晴れ
気象庁(実測),晴一時曇、みぞれを伴う,晴れ
気象庁(実測),晴一時曇、大風を伴う,晴れ
気象庁(実測),晴一時曇、雷を伴う,雨
気象庁(実測),晴一時曇、霧を伴う,晴れ
気象庁(実測),晴一時曇後みぞれ時々雨,雨
気象庁(実測),晴一時曇後みぞれ時々雪,雪
気象庁(実測),晴一時曇後一時大雨、雷を伴う,雨
気象庁(実測),晴一時曇後一時雨,雨
気象庁(実測),晴一時曇後一時雨、みぞれを伴う,雨
気象庁(実測),晴一時曇後一時雨、大風を伴う,雨
気象庁(実測),晴一時曇後一時雨、雷を伴う,雨
気象庁(実測),晴一時曇後一時雨、雷・霧を伴う,雨
気象庁(実測),晴一時曇後一時雪,雪
気象庁(実測),晴一時曇後一時雪、あられを伴う,雪
気象庁(実測),晴一時曇後一時雪、大風を伴う,雪
気象庁(実測),晴一時曇後時々雨,雨
気象庁(実測),晴一時曇後時々雨、あられを伴う,雨
気象庁(実測),晴一時曇後時々雨、みぞれを伴う,雨
気象庁(実測),晴一時曇後時々雨、大風を伴う,雨
気象庁(実測),晴一時曇後時々雨、雷を伴う,雨
気象庁(実測),晴一時曇後時々雪,雪
気象庁(実測),晴一時曇後時々雪、大風を伴う,雪
気象庁(実測),晴一時曇後雨,雨
気象庁(実測),晴一時曇後雨、みぞれを伴う,雨
気象庁(実測),晴一時曇後雨、雷を伴う,雨
気象庁(実測),晴一時曇後雨時々みぞれ,雨
気象庁(実測),晴一時曇後雪,雪
気象庁(実測),晴一時曇時々雨,雨
気象庁(実測),晴一時薄曇,晴れ
気象庁(実測),晴一時薄曇後一時雨,雨
気象庁(実測),晴一時雨,雨
気象庁(実測),晴一時雨、あられを伴う,雨
気象庁(実測),晴一時雨、みぞれを伴う,雨
気象庁(実測),晴一時雨、大風を伴う,雨
気象庁(実測),晴一時雨、雷を伴う,雨
気象庁(実測),晴一時雨、霧を伴う,雨
気象庁(実測),晴一時雨後みぞれ時々曇,雨
気象庁(実測),晴一時雨後一時曇,雨
気象庁(実測),晴一時雨後一時薄曇,雨
気象庁(実測),晴一時雨後時々曇,雨
気象庁(実測),晴一時雨後時々曇、あられを伴う,雨
気象庁(実測),晴一時雨後曇,雨
気象庁(実測),晴一時雨後曇、みぞれを伴う,雨
気象庁(実測),晴一時雨後曇、大風を伴う,雨
気象庁(実測),晴一時雨後曇、雷を伴う,雨
気象庁(実測),晴一時雨後曇、霧を伴う,雨
気象庁(実測),晴一時雨後薄曇,雨
気象庁(実測),晴一時雨後雪時々みぞれ,雪
気象庁(実測),晴一時雪,雪
気象庁(実測),晴一時雪、あられを伴う,雪
気象庁(実測),晴一時雪、みぞれを伴う,雪
気象庁(実測),晴一時雪後みぞれ時々曇,雪
気象庁(実測),晴一時雪後一時曇,雪
気象庁(実測),晴一時雪後時々曇,雪
気象庁(実測),晴一時雪後曇,雪
気象庁(実測),晴一時雪後曇、みぞれを伴う,雪
気象庁(実測),晴一時雪後曇、大風を伴う,雪
気象庁(実測),晴一時雪後曇時々雨,雪
気象庁(実測),晴一時雪後雨時々曇,雪
気象庁(実測),晴一時霧,晴れ
気象庁(実測),晴一時霧後一時雨,雨
気象庁(実測),晴一時霧後曇,晴れ
気象庁(実測),晴一時霧後曇時々雨,雨
気象庁(実測),晴一時霧後曇時々雪,雪
気象庁(実測),晴一時霧後雨時々曇,雨
気象庁(実測),晴後みぞれ一時雪,雪
気象庁(実測),晴後みぞれ時々曇,晴れ
気象庁(実測),晴後みぞれ時々曇一時雨,雨
気象庁(実測),晴後みぞれ時々曇一時雪,雪
気象庁(実測),晴後みぞれ時々雨,雨
気象庁(実測),晴後みぞれ時々雨一時曇,雨
気象庁(実測),晴後みぞれ時々雨一時雪,雪
気象庁(実測),晴後みぞれ時々雪一時雨,雪
気象庁(実測),晴後一時みぞれ,晴れ
気象庁(実測),晴後一時みぞれ一時曇,晴れ
気象庁(実測),晴後一時大雨,雨
気象庁(実測),晴後一時大雨、雷を伴う,雨
気象庁(実測),晴後一時大雨一時曇、雷を伴う,雨
気象庁(実測),晴後一時曇,晴れ
気象庁(実測),晴後一時曇、みぞれを伴う,晴れ
気象庁(実測),晴後一時曇、大風を伴う,晴れ
気象庁(実測),晴後一時曇、雷を伴う,雨
気象庁(実測),晴後一時曇、霧を伴う,晴れ
気象庁(実測),晴後一時曇一時雨,雨
気象庁(実測),晴後一時曇一時雨、みぞれを伴う,雨
気象庁(実測),晴後一時曇一時雨、雷を伴う,雨
気象庁(実測),晴後一時曇一時雪、みぞれを伴う,雪
気象庁(実測),晴後一時薄曇,晴れ
気象庁(実測),晴後一時薄曇、雷を伴う,雨
気象庁(実測),晴後一時雨,雨
気象庁(実測),晴後一時雨、みぞれを伴う,雨
気象庁(実測),晴後一時雨、大風を伴う,雨
気象庁(実測),晴後一時雨、雷を伴う,雨
気象庁(実測),晴後一時雨、雷・霧を伴う,雨
気象庁(実測),晴後一時雨、霧を伴う,雨
気象庁(実測),晴後一時雨一時曇,雨
気象庁(実測),晴後一時雨一時曇、みぞれを伴う,雨
気象庁(実測),晴後一時雨一時曇、大風を伴う,雨
気象庁(実測),晴後一時雨一時曇、雷を伴う,雨
気象庁(実測),晴後一時雨一時曇、霧を伴う,雨
気象庁(実測),晴後一時雨時々霧一時曇,雨
気象庁(実測),晴後一時雪,雪
気象庁(実測),晴後一時雪、みぞれを伴う,雪
気象庁(実測),晴後一時雪一時曇,雪
気象庁(実測),晴後一時雪一時曇、みぞれを伴う,雪
