データソース,元の表現,変換後
気象庁(実測),雨後一時曇一時晴,雨
気象庁(実測),雨後一時曇一時晴、みぞれを伴う,雨
気象庁(実測),雨後一時雪、あられを伴う,雪
気象庁(実測),雨後一時雪、みぞれを伴う,雪
気象庁(実測),雨後一時雪一時みぞれ,雪
気象庁(実測),雨後一時雪一時みぞれ、雷を伴う,雪
気象庁(実測),雨後一時霧,雨
気象庁(実測),雨後一時霧、大風を伴う,雨
気象庁(実測),雨後一時霧雨,雨
気象庁(実測),雨後時々みぞれ,雨
気象庁(実測),雨後時々みぞれ一時曇,雨
気象庁(実測),雨後時々晴,雨
気象庁(実測),雨後時々晴、大風を伴う,雨
気象庁(実測),雨後時々晴、雷を伴う,雨
気象庁(実測),雨後時々晴一時曇,雨
気象庁(実測),雨後時々曇,雨
気象庁(実測),雨後時々曇、みぞれを伴う,雨
気象庁(実測),雨後時々曇、大風を伴う,雨
気象庁(実測),雨後時々曇、雷を伴う,雨
気象庁(実測),雨後時々曇、霧を伴う,雨
気象庁(実測),雨後時々曇一時晴,雨
気象庁(実測),雨後時々曇一時晴、雷を伴う,雨
気象庁(実測),雨後時々曇一時雪、みぞれを伴う,雪
気象庁(実測),雨後時々曇時々みぞれ一時晴,雨
気象庁(実測),雨後時々霧一時曇,雨
気象庁(実測),雨後晴,雨
気象庁(実測),雨後晴、雷を伴う,雨
気象庁(実測),雨後晴一時曇,雨
気象庁(実測),雨後晴一時曇、みぞれを伴う,雨
気象庁(実測),雨後晴一時曇、雷を伴う,雨
気象庁(実測),雨後晴一時雪、みぞれを伴う,雪
気象庁(実測),雨後晴時々曇,雨
気象庁(実測),雨後晴時々曇、みぞれを伴う,雨
気象庁(実測),雨後晴時々曇、大風を伴う,雨
気象庁(実測),雨後晴時々曇、雷を伴う,雨
気象庁(実測),雨後晴時々曇、雷・霧を伴う,雨
気象庁(実測),雨後晴時々雪一時曇,雪
気象庁(実測),雨後曇,雨
気象庁(実測),雨後曇、あられを伴う,雨
気象庁(実測),雨後曇、みぞれを伴う,雨
気象庁(実測),雨後曇、大風を伴う,雨
気象庁(実測),雨後曇、雷を伴う,雨
気象庁(実測),雨後曇一時みぞれ,雨
気象庁(実測),雨後曇一時みぞれ、雷を伴う,雨
気象庁(実測),雨後曇一時晴,雨
気象庁(実測),雨後曇一時晴、みぞれを伴う,雨
気象庁(実測),雨後曇一時晴、大風を伴う,雨
気象庁(実測),雨後曇一時晴、雷を伴う,雨
気象庁(実測),雨後曇一時晴、霧を伴う,雨
気象庁(実測),雨後曇一時雪、みぞれを伴う,雪
気象庁(実測),雨後曇一時雪、大風を伴う,雪
気象庁(実測),雨後曇一時雪、雷を伴う,雪
気象庁(実測),雨後曇時々みぞれ,雨
気象庁(実測),雨後曇時々みぞれ、雷を伴う,雨
気象庁(実測),雨後曇時々みぞれ一時晴,雨
気象庁(実測),雨後曇時々みぞれ一時雪,雪
気象庁(実測),雨後曇時々晴,雨
気象庁(実測),雨後曇時々晴、みぞれを伴う,雨
気象庁(実測),雨後曇時々晴、大風を伴う,雨
気象庁(実測),雨後曇時々晴、大風・雷を伴う,雨
気象庁(実測),雨後曇時々晴、雷を伴う,雨
気象庁(実測),雨後曇時々晴、霧を伴う,雨
気象庁(実測),雨後曇時々晴一時みぞれ,雨
気象庁(実測),雨後曇時々雪、みぞれを伴う,雪
気象庁(実測),雨後曇時々雪、大風を伴う,雪
気象庁(実測),雨後曇時々雪一時みぞれ,雪
気象庁(実測),雨後曇時々霧,雨
気象庁(実測),雨後薄曇,雨
気象庁(実測),雨後薄曇、雷を伴う,雨
気象庁(実測),雨後薄曇時々晴,雨
気象庁(実測),雨後雪、あられを伴う,雪
気象庁(実測),雨後雪一時みぞれ,雪
気象庁(実測),雨後雪時々みぞれ,雪
気象庁(実測),雨後雪時々みぞれ、雷を伴う,雪
気象庁(実測),雨後雪時々みぞれ一時曇,雪
気象庁(実測),雨後雪時々晴、雷を伴う,雪
気象庁(実測),雨後雪時々曇、みぞれを伴う,雪
気象庁(実測),雨後雪時々曇一時みぞれ,雪
気象庁(実測),雨後霧時々曇,雨
気象庁(実測),雨時々あられ、雷を伴う,雨
気象庁(実測),雨時々あられ、雷・ひょうを伴う,雨
気象庁(実測),雨時々みぞれ,雨
気象庁(実測),雨時々みぞれ、あられを伴う,雨
気象庁(実測),雨時々みぞれ、雷を伴う,雨
気象庁(実測),雨時々みぞれ一時曇,雨
気象庁(実測),雨時々みぞれ一時雪,雪
気象庁(実測),雨時々みぞれ後晴,雨
気象庁(実測),雨時々みぞれ後曇,雨
気象庁(実測),雨時々みぞれ後曇一時晴,雨
気象庁(実測),雨時々みぞれ後雪一時曇,雪
気象庁(実測),雨時々晴,雨
気象庁(実測),雨時々晴、みぞれを伴う,雨
気象庁(実測),雨時々晴、雷を伴う,雨
気象庁(実測),雨時々晴一時みぞれ,雨
気象庁(実測),雨時々晴一時みぞれ後曇,雨
気象庁(実測),雨時々晴一時曇,雨
気象庁(実測),雨時々晴一時曇、あられを伴う,雨
気象庁(実測),雨時々晴一時曇、みぞれを伴う,雨
気象庁(実測),雨時々晴一時曇、雷を伴う,雨
気象庁(実測),雨時々晴一時曇後みぞれ,雨
気象庁(実測),雨時々晴一時雪,雪
気象庁(実測),雨時々晴後みぞれ,雨
気象庁(実測),雨時々晴後曇,雨
気象庁(実測),雨時々晴後曇、みぞれを伴う,雨
気象庁(実測),雨時々晴後曇、大風を伴う,雨
気象庁(実測),雨時々晴後曇、雷を伴う,雨
気象庁(実測),雨時々曇,雨
気象庁(実測),雨時々曇、あられを伴う,雨
気象庁(実測),雨時々曇、ひょうを伴う,雨
気象庁(実測),雨時々曇、みぞれを伴う,雨
気象庁(実測),雨時々曇、大風を伴う,雨
気象庁(実測),雨時々曇、大風・雷を伴う,雨
気象庁(実測),雨時々曇、雷を伴う,雨
気象庁(実測),雨時々曇、雷・あられを伴う,雨
気象庁(実測),雨時々曇、雷・ひょうを伴う,雨
気象庁(実測),雨時々曇、雷・霧を伴う,雨
気象庁(実測),雨時々曇、霧を伴う,雨
気象庁(実測),雨時々曇一時みぞれ,雨
気象庁(実測),雨時々曇一時みぞれ、あられを伴う,雨
気象庁(実測),雨時々曇一時みぞれ、雷を伴う,雨
気象庁(実測),雨時々曇一時みぞれ後晴,雨
気象庁(実測),雨時々曇一時晴,雨
気象庁(実測),雨時々曇一時晴、みぞれを伴う,雨
気象庁(実測),雨時々曇一時晴、大風を伴う,雨
気象庁(実測),雨時々曇一時晴、雷を伴う,雨
気象庁(実測),雨時々曇一時晴、雷・あられを伴う,雨
気象庁(実測),雨時々曇一時晴、雷・霧を伴う,雨
気象庁(実測),雨時々曇一時晴、霧を伴う,雨
気象庁(実測),雨時々曇一時晴後みぞれ,雨
気象庁(実測),雨時々曇一時晴後一時みぞれ,雨
気象庁(実測),雨時々曇一時雪,雪
気象庁(実測),雨時々曇一時雪、あられを伴う,雪
気象庁(実測),雨時々曇一時雪、みぞれを伴う,雪
気象庁(実測),雨時々曇一時雪、雷を伴う,雪
気象庁(実測),雨時々曇一時雪後みぞれ,雪
気象庁(実測),雨時々曇一時雪後晴,雪
気象庁(実測),雨時々曇一時霧,雨
気象庁(実測),雨時々曇一時霧雨,雨
気象庁(実測),雨時々曇後みぞれ,雨
気象庁(実測),雨時々曇後みぞれ、大風・雷を伴う,雨
気象庁(実測),雨時々曇後みぞれ、雷を伴う,雨
気象庁(実測),雨時々曇後みぞれ一時晴,雨
気象庁(実測),雨時々曇後みぞれ一時雪,雪
気象庁(実測),雨時々曇後一時晴,雨
気象庁(実測),雨時々曇後一時晴、みぞれを伴う,雨
気象庁(実測),雨時々曇後晴,雨
気象庁(実測),雨時々曇後晴、みぞれを伴う,雨
気象庁(実測),雨時々曇後晴、大風を伴う,雨
気象庁(実測),雨時々曇後晴、大風・雷を伴う,雨
気象庁(実測),雨時々曇後晴、雷を伴う,雨
気象庁(実測),雨時々曇後晴、雷・霧を伴う,雨
気象庁(実測),雨時々曇後晴、霧を伴う,雨
気象庁(実測),雨時々曇後雪一時みぞれ,雪
気象庁(実測),雨時々薄曇,雨
気象庁(実測),雨時々薄曇、雷を伴う,雨
気象庁(実測),雨時々雪一時みぞれ後曇,雪
気象庁(実測),雨時々雪一時曇、みぞれを伴う,雪
気象庁(実測),雨時々雪一時曇後みぞれ,雪
気象庁(実測),雨時々雪後みぞれ,雪
気象庁(実測),雨時々雪後晴一時みぞれ,雪
気象庁(実測),雨時々霧,雨
気象庁(実測),雨時々霧一時晴後曇,雨
気象庁(実測),雨時々霧一時曇,雨
気象庁(実測),雨時々霧一時曇後晴,雨
気象庁(実測),雨時々霧後曇,雨
気象庁(実測),雨時々霧後曇、大風を伴う,雨
気象庁(実測),雨時々霧後曇一時晴,雨
気象庁(実測),雨時々霧雨一時曇,雨
気象庁(実測),雪,雪
気象庁(実測),雪、あられを伴う,雪
気象庁(実測),雪、みぞれを伴う,雪
気象庁(実測),雪、大風を伴う,雪
気象庁(実測),雪、雷を伴う,雪
気象庁(実測),雪、霧を伴う,雪
気象庁(実測),雪一時ふぶき後一時晴、あられを伴う,雪
気象庁(実測),雪一時みぞれ,雪
気象庁(実測),雪一時みぞれ、大風・雷を伴う,雪
気象庁(実測),雪一時みぞれ、雷を伴う,雪
気象庁(実測),雪一時みぞれ後曇,雪
気象庁(実測),雪一時みぞれ後曇時々晴,雪
気象庁(実測),雪一時みぞれ後雨,雪
気象庁(実測),雪一時みぞれ後雨時々曇,雪
気象庁(実測),雪一時大雨,雪
気象庁(実測),雪一時晴,雪
気象庁(実測),雪一時晴、あられを伴う,雪
気象庁(実測),雪一時晴、雷・あられを伴う,雪
気象庁(実測),雪一時晴後みぞれ時々曇,雪
気象庁(実測),雪一時晴後一時曇、ふぶきを伴う,雪
気象庁(実測),雪一時晴後時々曇,雪
気象庁(実測),雪一時晴後曇,雪
気象庁(実測),雪一時晴後曇、みぞれを伴う,雪
気象庁(実測),雪一時晴後曇、霧を伴う,雪
気象庁(実測),雪一時晴後曇時々みぞれ,雪
気象庁(実測),雪一時晴後曇時々雨,雪
気象庁(実測),雪一時曇,雪
気象庁(実測),雪一時曇、あられを伴う,雪
気象庁(実測),雪一時曇、みぞれを伴う,雪
気象庁(実測),雪一時曇、大風を伴う,雪
気象庁(実測),雪一時曇、雷・あられを伴う,雪
気象庁(実測),雪一時曇後みぞれ,雪
気象庁(実測),雪一時曇後みぞれ時々雨,雪
気象庁(実測),雪一時曇後一時みぞれ,雪
気象庁(実測),雪一時曇後時々みぞれ,雪
気象庁(実測),雪一時曇後時々みぞれ、雷を伴う,雪
気象庁(実測),雪一時曇後時々晴,雪
気象庁(実測),雪一時曇後時々霧,雪
気象庁(実測),雪一時曇後晴,雪
気象庁(実測),雪一時曇後晴、みぞれを伴う,雪
気象庁(実測),雪一時曇後晴、霧を伴う,雪
気象庁(実測),雪一時曇後晴時々みぞれ,雪
気象庁(実測),雪一時曇後雨時々みぞれ,雪
気象庁(実測),雪一時雨,雪
気象庁(実測),雪一時雨、あられを伴う,雪
気象庁(実測),雪一時雨後みぞれ時々曇,雪
気象庁(実測),雪一時雨後晴、大風を伴う,雪
気象庁(実測),雪一時雨後曇、みぞれを伴う,雪
気象庁(実測),雪後みぞれ,雪
気象庁(実測),雪後みぞれ、雷を伴う,雪
気象庁(実測),雪後みぞれ一時曇,雪
気象庁(実測),雪後みぞれ一時雨,雪
気象庁(実測),雪後みぞれ一時雨、雷を伴う,雪
気象庁(実測),雪後みぞれ時々晴一時雨,雪
気象庁(実測),雪後みぞれ時々曇,雪
気象庁(実測),雪後みぞれ時々曇、あられを伴う,雪
気象庁(実測),雪後みぞれ時々曇、雷を伴う,雪
気象庁(実測),雪後みぞれ時々曇、霧を伴う,雪
気象庁(実測),雪後みぞれ時々曇一時晴,雪
気象庁(実測),雪後みぞれ時々曇一時雨,雪
気象庁(実測),雪後みぞれ時々雨、大風・雷を伴う,雪
気象庁(実測),雪後みぞれ時々雨、雷を伴う,雪
気象庁(実測),雪後みぞれ時々雨一時曇,雪
気象庁(実測),雪後一時あられ,雪
気象庁(実測),雪後一時みぞれ,雪
気象庁(実測),雪後一時みぞれ一時曇,雪
気象庁(実測),雪後一時みぞれ一時雨、雷を伴う,雪
気象庁(実測),雪後一時晴,雪
気象庁(実測),雪後一時晴、あられを伴う,雪
気象庁(実測),雪後一時曇,雪
気象庁(実測),雪後一時曇、みぞれを伴う,雪
気象庁(実測),雪後一時曇、大風を伴う,雪
気象庁(実測),雪後一時曇一時晴、みぞれを伴う,雪
気象庁(実測),雪後一時雨一時曇,雪
気象庁(実測),雪後時々みぞれ,雪
気象庁(実測),雪後時々みぞれ、雷を伴う,雪
気象庁(実測),雪後時々みぞれ一時曇,雪
気象庁(実測),雪後時々みぞれ一時曇、雷を伴う,雪
気象庁(実測),雪後時々みぞれ時々曇一時晴,雪
気象庁(実測),雪後時々晴,雪
気象庁(実測),雪後時々晴、みぞれを伴う,雪
気象庁(実測),雪後時々晴一時曇,雪
気象庁(実測),雪後時々曇,雪
気象庁(実測),雪後時々曇、みぞれを伴う,雪
気象庁(実測),雪後時々曇、霧を伴う,雪
気象庁(実測),雪後時々曇一時晴,雪
気象庁(実測),雪後晴,雪
気象庁(実測),雪後晴、あられを伴う,雪
気象庁(実測),雪後晴一時曇,雪
気象庁(実測),雪後晴一時薄曇,雪
気象庁(実測),雪後晴時々曇,雪
気象庁(実測),雪後晴時々曇、みぞれを伴う,雪
気象庁(実測),雪後曇,雪
気象庁(実測),雪後曇、みぞれを伴う,雪
気象庁(実測),雪後曇、雷を伴う,雪
気象庁(実測),雪後曇一時みぞれ,雪
気象庁(実測),雪後曇一時みぞれ、あられを伴う,雪
気象庁(実測),雪後曇一時みぞれ、雷を伴う,雪
気象庁(実測),雪後曇一時晴,雪
気象庁(実測),雪後曇一時晴、みぞれを伴う,雪
気象庁(実測),雪後曇一時晴、雷を伴う,雪
気象庁(実測),雪後曇一時晴、霧を伴う,雪
気象庁(実測),雪後曇一時雨、みぞれを伴う,雪
気象庁(実測),雪後曇時々みぞれ,雪
気象庁(実測),雪後曇時々みぞれ、大風・雷を伴う,雪
気象庁(実測),雪後曇時々みぞれ一時晴,雪
気象庁(実測),雪後曇時々みぞれ一時雨,雪
気象庁(実測),雪後曇時々晴,雪
気象庁(実測),雪後曇時々晴、みぞれを伴う,雪
気象庁(実測),雪後曇時々晴、雷を伴う,雪
気象庁(実測),雪後曇時々晴一時みぞれ,雪
気象庁(実測),雪後曇時々雨、みぞれを伴う,雪
気象庁(実測),雪後雨,雪
気象庁(実測),雪後雨、あられを伴う,雪
気象庁(実測),雪後雨、みぞれを伴う,雪
気象庁(実測),雪後雨一時みぞれ、霧を伴う,雪
気象庁(実測),雪後雨時々みぞれ,雪
気象庁(実測),雪後雨時々曇、みぞれを伴う,雪
気象庁(実測),雪後雨時々曇、雷・あられを伴う,雪
気象庁(実測),雪時々あられ、ふぶきを伴う,雪
気象庁(実測),雪時々あられ一時曇、雷を伴う,雪
気象庁(実測),雪時々みぞれ,雪
気象庁(実測),雪時々みぞれ、あられを伴う,雪
気象庁(実測),雪時々みぞれ、大風を伴う,雪
気象庁(実測),雪時々みぞれ、雷を伴う,雪
気象庁(実測),雪時々みぞれ一時晴,雪
気象庁(実測),雪時々みぞれ一時晴後曇,雪
気象庁(実測),雪時々みぞれ一時曇,雪
気象庁(実測),雪時々みぞれ一時曇、あられを伴う,雪
気象庁(実測),雪時々みぞれ一時曇、雷を伴う,雪
気象庁(実測),雪時々みぞれ一時曇後晴,雪
気象庁(実測),雪時々みぞれ一時曇後雨,雪
気象庁(実測),雪時々みぞれ一時雨,雪
気象庁(実測),雪時々みぞれ一時雨、あられを伴う,雪
気象庁(実測),雪時々みぞれ一時雨後晴,雪
気象庁(実測),雪時々みぞれ一時雨後曇,雪
気象庁(実測),雪時々みぞれ後晴一時曇,雪
気象庁(実測),雪時々みぞれ後晴一時雨,雪
気象庁(実測),雪時々みぞれ後曇,雪
気象庁(実測),雪時々みぞれ後曇、大風を伴う,雪
気象庁(実測),雪時々みぞれ後曇一時晴,雪
気象庁(実測),雪時々みぞれ後曇一時雨,雪
気象庁(実測),雪時々みぞれ後雨,雪
気象庁(実測),雪時々みぞれ後雨一時曇,雪
気象庁(実測),雪時々晴,雪
気象庁(実測),雪時々晴、あられを伴う,雪
気象庁(実測),雪時々晴一時みぞれ,雪
気象庁(実測),雪時々晴一時曇,雪
気象庁(実測),雪時々晴一時曇、みぞれを伴う,雪
気象庁(実測),雪時々晴一時霧,雪
気象庁(実測),雪時々晴後みぞれ,雪
気象庁(実測),雪時々晴後一時曇,雪
気象庁(実測),雪時々晴後曇,雪
気象庁(実測),雪時々晴後曇、みぞれを伴う,雪
気象庁(実測),雪時々晴後曇一時みぞれ,雪
気象庁(実測),雪時々曇,雪
気象庁(実測),雪時々曇、あられを伴う,雪
気象庁(実測),雪時々曇、みぞれを伴う,雪
気象庁(実測),雪時々曇、大風を伴う,雪
気象庁(実測),雪時々曇、大風・雷を伴う,雪
気象庁(実測),雪時々曇、雷を伴う,雪
気象庁(実測),雪時々曇、雷・あられを伴う,雪
気象庁(実測),雪時々曇、雷・霧を伴う,雪
気象庁(実測),雪時々曇、霧を伴う,雪
気象庁(実測),雪時々曇一時みぞれ,雪
気象庁(実測),雪時々曇一時みぞれ、大風を伴う,雪
気象庁(実測),雪時々曇一時みぞれ、雷を伴う,雪
気象庁(実測),雪時々曇一時みぞれ、雷・あられを伴う,雪
気象庁(実測),雪時々曇一時みぞれ後雨,雪
気象庁(実測),雪時々曇一時晴,雪
気象庁(実測),雪時々曇一時晴、あられを伴う,雪
気象庁(実測),雪時々曇一時晴、みぞれを伴う,雪
気象庁(実測),雪時々曇一時晴、大風を伴う,雪
気象庁(実測),雪時々曇一時晴、雷を伴う,雪
気象庁(実測),雪時々曇一時晴、霧を伴う,雪
気象庁(実測),雪時々曇一時晴後みぞれ,雪
気象庁(実測),雪時々曇一時晴後一時みぞれ,雪
気象庁(実測),雪時々曇一時晴後時々みぞれ,雪
気象庁(実測),雪時々曇一時雨,雪
気象庁(実測),雪時々曇一時雨、あられを伴う,雪
気象庁(実測),雪時々曇一時雨、みぞれを伴う,雪
気象庁(実測),雪時々曇一時雨後みぞれ,雪
気象庁(実測),雪時々曇一時霧,雪
気象庁(実測),雪時々曇後みぞれ,雪
気象庁(実測),雪時々曇後みぞれ、大風を伴う,雪
気象庁(実測),雪時々曇後みぞれ、大風・雷を伴う,雪
気象庁(実測),雪時々曇後みぞれ、雷を伴う,雪
気象庁(実測),雪時々曇後みぞれ一時晴,雪
気象庁(実測),雪時々曇後みぞれ一時雨,雪
気象庁(実測),雪時々曇後一時あられ,雪
気象庁(実測),雪時々曇後一時晴,雪
気象庁(実測),雪時々曇後晴,雪
気象庁(実測),雪時々曇後晴、みぞれを伴う,雪
気象庁(実測),雪時々曇後晴、霧を伴う,雪
気象庁(実測),雪時々曇後雨、みぞれを伴う,雪
気象庁(実測),雪時々雨一時みぞれ後曇,雪
気象庁(実測),雪時々雨後曇、みぞれを伴う,雪
気象庁(実測),雪時々霧一時曇,雪
気象庁(実測),雪時々霧一時曇、大風を伴う,雪
気象庁(実測),雪時々霧一時曇、大風・雷を伴う,雪
気象庁(実測),雪時々霧後曇,雪
気象庁(実測),霧一時晴後曇,晴れ
気象庁(実測),霧一時晴後曇時々みぞれ,晴れ
気象庁(実測),霧一時曇後晴,晴れ
気象庁(実測),霧一時曇後雨,雨
気象庁(実測),霧一時雨後晴時々曇,雨
気象庁(実測),霧一時雨後曇,雨
気象庁(実測),霧一時雨後曇時々晴,雨
気象庁(実測),霧一時雪後曇時々晴,雪
気象庁(実測),霧後晴,晴れ
気象庁(実測),霧後晴一時曇,晴れ
気象庁(実測),霧後晴時々曇,晴れ
気象庁(実測),霧後曇一時雨,雨
気象庁(実測),霧後曇一時雨、みぞれを伴う,雨
気象庁(実測),霧後曇一時雨、大風を伴う,雨
気象庁(実測),霧後曇時々晴,晴れ
気象庁(実測),霧後曇時々晴一時雨,雨
気象庁(実測),霧後曇時々雨,雨
気象庁(実測),霧後曇時々雨一時晴,雨
気象庁(実測),霧後曇時々雪一時みぞれ,雪
気象庁(実測),霧後雪時々曇,雪
気象庁(実測),霧時々晴一時雨後曇,雨
気象庁(実測),霧時々晴後曇,晴れ
気象庁(実測),霧時々晴後曇一時雨,雨
気象庁(実測),霧時々曇一時晴,晴れ
気象庁(実測),霧時々曇一時雨,雨
気象庁(実測),霧時々曇一時雨後晴,雨
気象庁(実測),霧時々曇後晴,晴れ
気象庁(実測),霧時々曇後晴、みぞれを伴う,晴れ
気象庁(実測),霧時々曇後晴、大風を伴う,晴れ
気象庁(実測),霧時々曇後雨,雨
気象庁(実測),霧時々曇後雨、雷を伴う,雨
気象庁(実測),霧時々雨,雨
気象庁(実測),霧時々雪一時曇、大風を伴う,雪
気象庁(実測),霧時々雪一時曇後晴,雪
気象庁(実測),霧雨後曇一時雨,雨
